track_name,artist_name,album_name,track_url,popularity,duration_ms,primary_genre
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,89,157146,alt z
It's ok I'm ok,Tate McRae,It's ok I'm ok,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM,82,156521,pop
Xur Time,Scarlxrd,YXU WILL HEAL : 4,https://open.spotify.com/track/0UtejVWbiwfQHtgteIzFP8,26,180000,dark trap
No One Noticed,The Marías,Submarine,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,86,236906,bedroom pop
Good News,Shaboozey,Good News,https://open.spotify.com/track/54p6vNJwGkt4FTaM8SCsxt,79,199209,modern country pop
Indigo,"Sam Barber, Avery Anna",Indigo / Restless Mind,https://open.spotify.com/track/39wvq91YJYE15lqyQN83YP,51,286634,modern country pop
Defying Gravity,"Cynthia Erivo, Ariana Grande",Wicked: The Soundtrack,https://open.spotify.com/track/5QMrH5nszZZR3nefIj6Mar,85,459766,pop soul
Loco,Neton Vega,Loco,https://open.spotify.com/track/63EQbNhgaih4yg5412usWG,82,186521,corrido
Drive You Insane,Daniel Di Angelo,Drive You Insane,https://open.spotify.com/track/7ckfO3Cerf6OsNgdHBqf1b,65,212062,dark r&b
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,https://open.spotify.com/track/0l0vcZMU7AOeQmUIREoI2U,90,191018,puerto rican pop
Think I'm In Love With You,Chris Stapleton,Higher,https://open.spotify.com/track/3Gn1zuHNLtGuGEOXwq0k7e,76,222800,contemporary country
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,https://open.spotify.com/track/6StwwqB84sJeLr7tZDTxEX,76,164011,dfw rap
Dancing In The Flames,The Weeknd,Dancing In The Flames,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,81,220036,canadian contemporary r&b
Hey Now,London Grammar,If You Wait (Deluxe Version),https://open.spotify.com/track/2ENgaBS5vLUpqUw8inkZZp,55,205560,metropopolis
Help Me,Real Boston Richey,Help Me,https://open.spotify.com/track/487JCvAXVblflZyDJn3fSp,69,181165,florida drill
Residuals,Chris Brown,11:11 (Deluxe),https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,70,215178,r&b
Am I Okay?,Megan Moroney,Am I Okay?,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,75,235002,contemporary country
Diamond Boy (DTM),SZA,SOS Deluxe: LANA,https://open.spotify.com/track/0SCIwbS0Q4etwJmDyNjHaQ,80,217523,pop
I Ain't Sayin',Jordan Davis,I Ain't Sayin',https://open.spotify.com/track/7lCs3stpWCtAn5Y2lmnPhV,73,174060,contemporary country
What Do I Do,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/6jTQijAuYxOd8DjQ8D6UkL,81,167448,pop
Heart Of A Woman,Summer Walker,Heart Of A Woman,https://open.spotify.com/track/2oVVaVY0LkzwAYYcyzon6Z,73,171000,r&b
Another Life,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/4tfOoCcYPtb08J5HWlSo3r,80,205214,pop
Bad Dreams,Teddy Swims,Bad Dreams,https://open.spotify.com/track/3nHuKdFJZm78CoeBnDcFKe,86,184577,UNKNOWN
No Pole,Don Toliver,Love Sick (Deluxe),https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz,86,187613,rap
Empty Out Your Pockets,Juice WRLD,The Party Never Ends 2.0,https://open.spotify.com/track/2QxekHjOYDnzNO5w8hu2D9,84,135653,chicago rap
Dos Días,Fondo Flamenco,Flamenkito Puroh,https://open.spotify.com/track/7iEEJBIZraXurV2hFLVHFi,49,230482,flamenco fusion
Close To You,Gracie Abrams,The Secret of Us,https://open.spotify.com/track/5wbg8kepMFoMzHOEuxiI0q,82,225973,alt z
Popular,Ariana Grande,Wicked: The Soundtrack,https://open.spotify.com/track/3i8fIJNV0yuC4kXT3SkVBZ,84,241501,pop
Crybaby,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/1g7pFO1WtclKCuIQiS8sNM,80,241948,pop
wacced out murals,Kendrick Lamar,GNX,https://open.spotify.com/track/5gOfC9UzZQzTyShqPMrpjT,84,317092,conscious hip hop
Diet Pepsi,Addison Rae,Diet Pepsi,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz,85,169697,social media pop
Apple,Charli xcx,BRAT,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,82,151739,art pop
Boys Back Home,"Dylan Marlowe, Dylan Scott",Boys Back Home,https://open.spotify.com/track/1hgINxfKQlJOikzd9skvC2,60,165835,modern country pop
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",DS4EVER,https://open.spotify.com/track/6tsVFchreYTt2OPXSOoFCX,58,120000,atl hip hop
