track_name,artist_name,album_name,track_url,popularity,duration_ms,popularity_normalized,duration_min,duration_normalized,alt z,art pop,atl hip hop,bedroom pop,canadian contemporary r&b,chicago rap,children's music,chill abstract hip hop,classic oklahoma country,conscious hip hop,contemporary country,corrido,country rap,dark r&b,dark trap,dfw rap,flamenco fusion,florida drill,gen z singer-songwriter,hip hop,indie folk,indie pop,irish singer-songwriter,k-pop,memphis hip hop,metropopolis,modern country pop,pop,pop soul,puerto rican pop,r&b,rap,reggaeton,romanian pop,singer-songwriter pop,slowed and reverb,social media pop,southern hip hop,trap queen,uk pop
Love Somebody,Morgan Wallen,Love Somebody,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,84,204828,0.84,3.4138,0.3215349281583577,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Too Sweet,Hozier,Unreal Unearth: Unaired,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,84,251424,0.84,4.1904,0.4455406020380193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,92,256000,0.92,4.266666666666667,0.45771868521411446,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
squabble up,Kendrick Lamar,GNX,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb,89,157992,0.89,2.6332,0.19689054362260716,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,93,218423,0.93,3.6403833333333333,0.35771522553139395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R,89,255915,0.89,4.26525,0.45749247519008296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stargazing,Myles Smith,Stargazing,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,87,172533,0.87,2.87555,0.23558842549839393,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Not Like Us,Kendrick Lamar,Not Like Us,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,88,274192,0.88,4.569866666666667,0.5061329529456537,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,https://open.spotify.com/track/5xeSd4HgzrYpNLEf3LfYLK,81,149461,0.81,2.491016666666667,0.1741870410930469,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
High Road,Zach Bryan,High Road,https://open.spotify.com/track/4CcozggmhXmndssEDH6YHR,75,199893,0.75,3.33155,0.3084014402925295,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Who,Jimin,MUSE,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,90,170887,0.9,2.848116666666667,0.2312079349153842,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Messy,Lola Young,Messy,https://open.spotify.com/track/3SKH53SPQbEnZR4cJPVaz2,87,284068,0.87,4.734466666666667,0.5324158964437123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Please Please Please,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj,87,186365,0.87,3.1060833333333333,0.272399449644318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Aia e,Smiley,Aia e,https://open.spotify.com/track/4DtQZIcQCsZx89Ur1ouilo,43,172192,0.43,2.869866666666667,0.23468092410786762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
I Am Not Okay,Jelly Roll,Beautifully Broken,https://open.spotify.com/track/3SaS0Va6o6jYkWvadT86C6,76,198066,0.76,3.3011,0.30353925542305266,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BMF,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/3U3hFkMr0Q90pD24EkE3Pr,86,180746,0.86,3.0124333333333335,0.2574456364086365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,88,155151,0.88,2.58585,0.18932980623115475,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,https://open.spotify.com/track/3EO58D1YpHnTvBy68gK8HE,79,166666,0.79,2.7777666666666665,0.21997461125142045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Bed Chem,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,88,171869,0.88,2.8644833333333333,0.23382132601654793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sailor Song,Gigi Perez,Sailor Song,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,93,211978,0.93,3.532966666666667,0.3405631831210064,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lies Lies Lies,Morgan Wallen,Lies Lies Lies,https://open.spotify.com/track/7Fzl7QaTu47WyP9R5S5mh5,80,198068,0.8,3.3011333333333335,0.30354457801185347,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,92,261466,0.92,4.357766666666667,0.47226532040653935,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,https://open.spotify.com/track/1k2pQc5i348DCHwbn5KTdc,85,258034,0.85,4.300566666666667,0.463131758024468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,89,278014,0.89,4.633566666666667,0.5163044201438697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I Never Lie,Zach Top,Cold Beer & Country Music,https://open.spotify.com/track/3t6gUcGYLrUuqwpXjOFWQc,79,224906,0.79,3.7484333333333333,0.3749683971289956,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
I'm Gonna Love You,"D.O., Wonstein",공감 (Empathy) - The 1st Mini Album,https://open.spotify.com/track/1jxGBe4s8FwL2ZeNWszVuu,63,151733,0.63,2.5288833333333334,0.18023350197068852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scorsese Baby Daddy,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/2E7a96qey4AzSOdK6H21vS,82,153911,0.82,2.565183333333333,0.18602980117469534,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6,91,225880,0.91,3.764666666666667,0.3775604978749565,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,89,157146,0.89,2.6191,0.19463908855989376,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
It's ok I'm ok,Tate McRae,It's ok I'm ok,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM,82,156521,0.82,2.6086833333333335,0.19297577955966225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Xur Time,Scarlxrd,YXU WILL HEAL : 4,https://open.spotify.com/track/0UtejVWbiwfQHtgteIzFP8,26,180000,0.26,3.0,0.2554603107859601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
No One Noticed,The Marías,Submarine,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,86,236906,0.86,3.9484333333333335,0.40690392993344104,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Good News,Shaboozey,Good News,https://open.spotify.com/track/54p6vNJwGkt4FTaM8SCsxt,79,199209,0.79,3.32015,0.3065811149226761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Indigo,"Sam Barber, Avery Anna",Indigo / Restless Mind,https://open.spotify.com/track/39wvq91YJYE15lqyQN83YP,51,286634,0.51,4.777233333333333,0.5392447778750629,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Defying Gravity,"Cynthia Erivo, Ariana Grande",Wicked: The Soundtrack,https://open.spotify.com/track/5QMrH5nszZZR3nefIj6Mar,85,459766,0.85,7.662766666666666,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Loco,Neton Vega,Loco,https://open.spotify.com/track/63EQbNhgaih4yg5412usWG,82,186521,0.82,3.1086833333333335,0.27281461157077586,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Drive You Insane,Daniel Di Angelo,Drive You Insane,https://open.spotify.com/track/7ckfO3Cerf6OsNgdHBqf1b,65,212062,0.65,3.5343666666666667,0.3407867318506375,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,https://open.spotify.com/track/0l0vcZMU7AOeQmUIREoI2U,90,191018,0.9,3.1836333333333333,0.2847824524892417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Think I'm In Love With You,Chris Stapleton,Higher,https://open.spotify.com/track/3Gn1zuHNLtGuGEOXwq0k7e,76,222800,0.76,3.7133333333333334,0.36936371112181543,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,https://open.spotify.com/track/6StwwqB84sJeLr7tZDTxEX,76,164011,0.76,2.7335166666666666,0.2129088746184369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dancing In The Flames,The Weeknd,Dancing In The Flames,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,81,220036,0.81,3.6672666666666665,0.3620078933991915,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hey Now,London Grammar,If You Wait (Deluxe Version),https://open.spotify.com/track/2ENgaBS5vLUpqUw8inkZZp,55,205560,0.55,3.426,0.3234829956594289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Help Me,Real Boston Richey,Help Me,https://open.spotify.com/track/487JCvAXVblflZyDJn3fSp,69,181165,0.69,3.019416666666667,0.2585607187623917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Residuals,Chris Brown,11:11 (Deluxe),https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,70,215178,0.7,3.5863,0.34907932520219187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Am I Okay?,Megan Moroney,Am I Okay?,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,75,235002,0.75,3.9167,0.4018368253951357,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diamond Boy (DTM),SZA,SOS Deluxe: LANA,https://open.spotify.com/track/0SCIwbS0Q4etwJmDyNjHaQ,80,217523,0.8,3.625383333333333,0.3553200605710605,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
I Ain't Sayin',Jordan Davis,I Ain't Sayin',https://open.spotify.com/track/7lCs3stpWCtAn5Y2lmnPhV,73,174060,0.73,2.901,0.23965222204775957,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
What Do I Do,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/6jTQijAuYxOd8DjQ8D6UkL,81,167448,0.81,2.7908,0.22205574347251017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Heart Of A Woman,Summer Walker,Heart Of A Woman,https://open.spotify.com/track/2oVVaVY0LkzwAYYcyzon6Z,73,171000,0.73,2.85,0.23150866118262603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Another Life,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/4tfOoCcYPtb08J5HWlSo3r,80,205214,0.8,3.4202333333333335,0.3225621877969007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
No Pole,Don Toliver,Love Sick (Deluxe),https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz,86,187613,0.86,3.1268833333333332,0.2757207450559803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Empty Out Your Pockets,Juice WRLD,The Party Never Ends 2.0,https://open.spotify.com/track/2QxekHjOYDnzNO5w8hu2D9,84,135653,0.84,2.260883333333333,0.1374398880127316,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dos Días,Fondo Flamenco,Flamenkito Puroh,https://open.spotify.com/track/7iEEJBIZraXurV2hFLVHFi,49,230482,0.49,3.8413666666666666,0.38980777470546124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Close To You,Gracie Abrams,The Secret of Us,https://open.spotify.com/track/5wbg8kepMFoMzHOEuxiI0q,82,225973,0.82,3.7662166666666668,0.3778079982541909,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Popular,Ariana Grande,Wicked: The Soundtrack,https://open.spotify.com/track/3i8fIJNV0yuC4kXT3SkVBZ,84,241501,0.84,4.025016666666667,0.41913257770314327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Crybaby,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/1g7pFO1WtclKCuIQiS8sNM,80,241948,0.8,4.032466666666667,0.42032217630010893,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
wacced out murals,Kendrick Lamar,GNX,https://open.spotify.com/track/5gOfC9UzZQzTyShqPMrpjT,84,317092,0.84,5.284866666666667,0.6203024827215462,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diet Pepsi,Addison Rae,Diet Pepsi,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz,85,169697,0.85,2.8282833333333333,0.2280409945789433,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Apple,Charli xcx,BRAT,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,82,151739,0.82,2.528983333333333,0.18024946973709072,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Boys Back Home,"Dylan Marlowe, Dylan Scott",Boys Back Home,https://open.spotify.com/track/1hgINxfKQlJOikzd9skvC2,60,165835,0.6,2.763916666666667,0.21776307560471264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",DS4EVER,https://open.spotify.com/track/6tsVFchreYTt2OPXSOoFCX,58,120000,0.58,2.0,0.09578264676373295,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kitchen,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/3VPeA7IW68QRNTfgzb6biZ,80,172171,0.8,2.8695166666666667,0.23462503692545983,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Peekaboo,Super Simple Songs,Baby Shark & More Kids Songs,https://open.spotify.com/track/422QSRjDkp8dBw3Yh24AUx,48,84009,0.48,1.40015,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burning Down (with Joe Jonas),"Alex Warren, Joe Jonas",Burning Down (with Joe Jonas),https://open.spotify.com/track/3diSxgK7bRIZzqu5IqFgd1,74,179437,0.74,2.9906166666666665,0.2539620020385515,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Disease,Lady Gaga,Disease,https://open.spotify.com/track/19KlZwqlT3fguP2BeHF1Q1,83,229997,0.83,3.833283333333333,0.3885170469212816,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gang Baby,NLE Choppa,SLUT SZN,https://open.spotify.com/track/76Ku9OBFK1NjMylR8r4WLK,82,138180,0.82,2.303,0.14416497896246777,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,https://open.spotify.com/track/1YYfyJ2yCvGFCxwjsIqEK9,88,206066,0.88,3.4344333333333332,0.3248296106260163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Brokey,Latto,Sugar Honey Iced Tea,https://open.spotify.com/track/1JF8LkQWZ8grXb2emqrNKn,70,217613,0.7,3.6268833333333332,0.3555595770670939,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Juno,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,86,223192,0.86,3.719866666666667,0.3704069385267607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Nadie,Farruko,Gangalee,https://open.spotify.com/track/0REjFxlMJRQxPqWSdmXiAT,48,228760,0.48,3.812666666666667,0.38522502574802336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
